dae,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP
,106555.03,1020.663627,106555.03,1020.663627,0.0,0.0,0.0,11.3,28.8,19.9,0.0,1,0,,,,,,,10.20663627
,122810.05,1439.689629,122810.05,1439.689629,0.0,0.0,0.0,13.6,27.0,3.9,0.0,1,0,,,,,,,14.39689629
,123234.935,1837.456046,123234.935,1837.456046,0.0,0.0,0.0,12.6,15.3,3.8,1.4,1,0,,,,,,,18.37456046
,122268.86,1540.205291,122268.86,1540.205291,0.0,0.0,0.0,13.0,20.4,13.8,0.4,1,0,,,,,,,15.40205291
,121998.2,1185.355028,121998.2,1185.355028,0.0,0.0,0.0,9.8,18.0,9.9,0.4,1,0,,,,,,,11.85355028
,122346.335,1390.37784,122346.335,1390.37784,0.0,0.0,0.0,11.6,18.1,11.2,0.2,0,0,,,,,,,13.9037784
,112187.715,1579.190341,112187.715,1579.190341,0.0,0.0,0.0,12.7,19.1,14.4,0.0,0,0,,,,,,,15.79190341
,106418.665,1331.093047,106418.665,1331.093047,0.0,0.0,0.0,8.5,22.7,18.6,0.0,0,0,,,,,,,13.31093047
,123061.87,1820.832068,123061.87,1820.832068,0.0,0.0,0.0,10.6,23.1,18.1,0.0,0,0,,,,,,,18.20832068
,125795.325,1717.582929,125795.325,1717.582929,0.0,0.0,0.0,11.2,25.3,18.1,0.0,0,0,,,,,,,17.17582929
,122042.265,1411.753126,122042.265,1411.753126,0.0,0.0,0.0,13.3,29.0,10.7,0.0,0,0,,,,,,,14.11753126
,113838.41,1265.680519,113838.41,1265.680519,0.0,0.0,0.0,12.8,17.2,17.5,0.2,0,0,,,,,,,12.65680519
,98891.06,1129.67947,98891.06,1129.67947,0.0,0.0,0.0,8.0,20.9,17.4,0.0,0,1,,,,,,,11.2967947
,103999.17,1250.99563,103999.17,1250.99563,0.0,0.0,0.0,8.5,23.5,16.2,0.0,0,1,,,,,,,12.5099563
,103685.45,1106.441688,103685.45,1106.441688,0.0,0.0,0.0,10.2,18.5,9.8,0.0,0,0,,,,,,,11.06441688
