date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,Hour,DayOfWeek,Month,Year,demand_Lag_1,demand_Lag_7,Z_Score
2017-08-31,133982.25499999998,115.42570082135131,133982.25499999998,115.42570082135131,0.0,0.0,0.0,4.0,16.7,15.9,0.2,Y,N,0,3,8,2017,137513.46499999994,135619.93999999994,1.0147001169666845
2017-09-01,128707.425,102.27816315531142,128707.425,102.27816315531142,0.0,0.0,0.0,3.7,17.0,14.4,0.0,Y,N,0,4,9,2017,133982.25499999998,133666.57499999995,0.6309290103220409
2017-09-02,114098.115,89.32991677645157,114098.115,89.32991677645157,0.0,0.0,0.0,7.3,18.4,6.3,0.0,Y,N,0,5,9,2017,128707.425,117444.10000000002,0.4319736928958239
2017-09-03,103964.33,67.07312753422258,103964.33,67.07312753422258,0.0,0.0,0.0,13.4,17.2,6.3,0.0,Y,N,0,6,9,2017,114098.115,115177.935,1.169258853545345
2017-09-04,128001.055,93.82662097980366,128001.055,93.82662097980366,0.0,0.0,0.0,8.8,13.7,13.4,0.4,Y,N,0,0,9,2017,103964.33,139414.49500000002,0.5795369471464347
2017-09-05,137696.66999999995,95.60201813885556,137696.66999999995,95.60201813885556,0.0,0.0,0.0,6.5,13.3,11.0,0.2,Y,N,0,1,9,2017,128001.055,139814.04,1.2849429788385296
2017-09-06,134819.94499999998,101.01737629584407,134819.94499999998,101.01737629584407,0.0,0.0,0.0,6.7,15.1,11.0,4.8,Y,N,0,2,9,2017,137696.66999999995,137513.46499999994,1.0756463879034075
2017-09-07,133405.71999999994,93.02525491223318,133405.71999999994,93.02525491223318,0.0,0.0,0.0,7.9,15.2,9.5,0.8,Y,N,0,3,9,2017,134819.94499999998,133982.25499999998,0.9727542201378989
2017-09-08,132543.09999999995,102.41608081220376,132543.09999999995,102.41608081220376,0.0,0.0,0.0,8.0,13.5,13.1,3.2,Y,N,0,4,9,2017,133405.71999999994,128707.425,0.909994163033916
2017-09-09,120454.01,96.91024412595316,120454.01,96.91024412595316,0.0,0.0,0.0,7.1,14.9,15.9,1.2,Y,N,0,5,9,2017,132543.09999999995,114098.115,0.030450472028385394
2017-09-10,114584.065,91.88390937474593,114584.065,91.88390937474593,0.0,0.0,0.0,5.3,16.1,12.3,0.2,Y,N,0,6,9,2017,120454.01,103964.33,0.39661832233905436
2017-09-11,127169.03,86.68557783329794,127169.03,86.68557783329794,0.0,0.0,0.0,8.1,18.1,7.0,0.0,Y,N,0,0,9,2017,114584.065,128001.055,0.5190028341975796
2017-09-12,130906.89,94.77296866077864,130906.89,94.77296866077864,0.0,0.0,0.0,12.2,19.9,3.5,0.2,Y,N,0,1,9,2017,127169.03,137696.66999999995,0.7909514408223914
2017-09-13,127192.315,88.3619359444004,127192.315,88.3619359444004,0.0,0.0,0.0,13.3,16.4,8.2,2.0,Y,N,0,2,9,2017,130906.89,134819.94499999998,0.5206969381247625
2017-09-14,131986.8049999999,89.57361117916298,131986.8049999999,89.57361117916298,0.0,0.0,0.0,5.8,15.3,10.8,1.4,Y,N,0,3,9,2017,127192.315,133405.71999999994,0.869520830666636
2017-09-15,128761.60499999998,89.23620111600813,128761.60499999998,89.23620111600813,0.0,0.0,0.0,9.6,16.7,7.0,0.0,Y,N,0,4,9,2017,131986.8049999999,132543.09999999995,0.6348708849526922
2017-09-16,111301.56,89.60758713265116,111301.56,89.60758713265116,0.0,0.0,0.0,7.4,13.3,16.7,21.4,Y,N,0,5,9,2017,128761.60499999998,120454.01,0.6354375025622245
2017-09-17,104766.0,75.50959889467957,104766.0,75.50959889467957,0.0,0.0,0.0,4.0,18.1,19.0,0.2,Y,N,0,6,9,2017,111301.56,114584.065,1.1109332235129434
2017-09-18,115123.54,79.78344789519154,115123.54,79.78344789519154,0.0,0.0,0.0,10.5,22.0,15.7,0.0,Y,N,0,0,9,2017,104766.0,127169.03,0.35736873178218015
2017-09-19,124033.95500000002,92.3727686188834,124033.95500000002,92.3727686188834,0.0,0.0,0.0,9.0,13.9,16.6,0.2,Y,N,0,1,9,2017,115123.54,130906.89,0.29090994738151993
